#Energy           TDOS-UP         TDOS-DOWN
5.463292        5.104000        4.646000
5.494292        4.697000        4.624000
5.525292        4.793000        5.030000
5.556292        4.687000        4.598000
5.587292        4.809000        5.037000
5.618292        4.488000        4.690000
5.649292        4.774000        4.875000
5.680292        4.616000        4.696000
5.711292        6.086000        4.795000
5.742292        5.022000        5.036000
5.773292        4.843000        5.706000
5.804292        4.986000        5.794000
5.835292        5.523000        5.624000
5.866292        5.589000        5.598000
5.897292        5.594000        5.563000
5.928292        5.593000        5.730000
5.959292        5.979000        6.133000
5.990292        5.809000        6.560000
6.021292        5.931000        5.485000
6.052292        5.305000        5.947000
6.083292        5.053000        5.528000
6.114292        5.360000        5.718000
6.145292        5.268000        5.202000
6.176292        6.579000        7.026000
6.207292        5.239000        5.497000
